,hotel_name,price_week_before
0,Mayerling Bisbe Urquinaona,"€ 1,250"
1,Sonder Paseo de Gracia,"€ 1,928"
2,HCC Regente,"€ 1,049"
3,Hostal Orleans,€ 661
4,ibis Styles Barcelona City Bogatell,€ 974
5,Hotel Lloret Ramblas,"€ 1,155"
6,Catalonia Sagrada Familia,€ 970
7,C211 Barcelona Apartments,"€ 1,793"
8,Hostal Centric,"€ 1,182"
9,Catalonia Park Putxet,€ 839
10,Hotel Concordia Barcelona,"€ 1,354"
11,Hotel del Mar,"€ 1,232"
12,Golden Hotel Barcelona,"€ 1,180"
13,Acta Voraport,"€ 1,606"
14,Aparthotel Napols - Abapart,"€ 1,283"
15,Hotel Lleó,"€ 1,446"
16,Four Points by Sheraton Barcelona Diagonal,"€ 1,335"
17,Hotel Best Front Maritim,"€ 1,058"
18,Unite Hostel Barcelona,"€ 1,250"
19,Residencia Universitaria Barcelona Diagonal,"€ 1,070"
20,Catalonia Atenas,"€ 1,019"
21,Hotel Glòries,"€ 1,019"
22,Boutique Apartments 23 Barcelona,"€ 1,377"
23,Allegro Barcelona,"€ 1,328"
24,Sallés Hotel Pere IV,"€ 1,385"
25,Hotel Paxton Barcelona,"€ 2,145"
26,Catalonia Gran Via BCN,"€ 1,359"
27,Unite Hostel Barcelona,"€ 1,250"
28,Residencia Universitaria Barcelona Diagonal,"€ 1,070"
29,Catalonia Atenas,"€ 1,019"
30,Hotel Glòries,"€ 1,019"
31,Boutique Apartments 23 Barcelona,"€ 1,377"
32,Allegro Barcelona,"€ 1,328"
33,Sallés Hotel Pere IV,"€ 1,385"
34,Hotel Paxton Barcelona,"€ 2,145"
35,Catalonia Gran Via BCN,"€ 1,359"
36,Mayerling Bisbe Urquinaona,"€ 1,250"
37,Stylish Apartments,"€ 2,244"
38,Aparthotel Senator Barcelona,"€ 1,247"
39,Silken Sant Gervasi,"€ 1,026"
40,Catalonia Eixample 1864,"€ 1,289"
41,MH Apartments Sant Pau,"€ 1,580"
42,Residencia Universitaria Campus del Mar,€ 986
43,Perfectly located 4bed 4bath apartment in Barcelona 1 2,"€ 3,387"
44,Eurohotel Diagonal Port,"€ 1,306"
45,SM Hotel Teatre Auditori,€ 934
46,Catalonia Park Güell,€ 830
47,TWO Hotel Barcelona by Axel 4* Sup- Adults Only,"€ 1,201"
48,Serennia Cest Apartamentos Arc de Triomf,"€ 1,621"
49,Valencia 455,"€ 2,121"
50,Mayerling Schumann Barcelona,"€ 1,652"
51,Fisa Rentals Gran Via Apartments,"€ 1,302"
52,Charmsuites Paralel,"€ 1,206"
53,Barnapartments Raval,"€ 1,256"
54,The Streets Apartments Rambla,"€ 1,983"
55,Ciutat Vella,"€ 1,174"
56,"Labtwentytwo Barcelona, a Tribute Portfolio Hotel","€ 1,587"
57,Hotel & Spa Villa Olimpica Suites,"€ 1,219"
58,Hotel Astoria,"€ 1,314"
59,MH Apartments Liceo,"€ 1,530"
60,La Casa Gran B&B,"€ 1,189"
61,Gran Hotel Havana 4Sup by Escampa Hotels,"€ 1,529"
62,Hotel Paseo de Gracia,"€ 1,352"
63,"The Hoxton, Poblenou","€ 1,767"
64,Catalonia Avinyo,"€ 1,210"
65,Hotel Medicis,€ 859
66,Hotel SB Diagonal Zero 4 Sup,"€ 1,283"
67,Casa Abamita,"€ 1,769"
68,Bed and Bike Barcelona,€ 810
69,Catalonia Rigoletto,"€ 1,159"
70,Pestana Arena Barcelona,"€ 1,232"
71,Hostal La Terrassa,€ 826
72,Barcelona House,"€ 1,490"
73,Hostal Marenostrum,€ 935
74,Blanc Guest House,€ 866
75,Occidental Atenea Mar - Adults Only,"€ 1,409"
76,Ofelias Hotel 4Sup by Bondia Hotel Group,"€ 1,490"
77,Catalonia Born,"€ 1,369"
78,Apartaments Independencia,€ 846
79,H10 Casanova,"€ 1,631"
80,Citadines Ramblas Barcelona,"€ 1,682"
81,Hotel Continental Palacete,"€ 1,394"
82,Casa Balmes,"€ 1,135"
83,Hotel Rialto,"€ 1,235"
84,Sofitel Barcelona Skipper,"€ 3,023"
85,Caledonian,"€ 1,469"
86,Barcelona Hotel Colonial,"€ 1,460"
87,Hotel Balmoral,"€ 1,179"
88,Aparthotel Arai 4* Superior,"€ 2,054"
89,H10 Marina Barcelona,"€ 1,503"
90,Catalonia Magdalenes,"€ 1,909"
91,Yeah Barcelona Hostel,"€ 1,893"
92,Cosmo Apartments Passeig de Gràcia,"€ 1,394"
93,Hotel California,"€ 1,043"
94,Hostal Conde Güell,€ 518
95,Sercotel Caspe,"€ 1,080"
96,Sensation Sagrada Familia,"€ 1,781"
97,Ibis Barcelona Meridiana,€ 835
98,Casa Gracia,€ 956
99,Hostalet de Barcelona,€ 554
100,Hotel Boutique Mirlo Barcelona,"€ 1,897"
101,BcnStop Sagrada Familia,€ 914
102,Apartaments Aragó565,€ 853
103,Capri by Fraser Barcelona,"€ 1,106"
104,Catalonia Barcelona 505,"€ 1,039"
105,Sunotel Central,"€ 1,371"
106,Hotel SB Icaria,"€ 1,391"
107,Hostal Boqueria,"€ 1,101"
108,Petit Palace Boqueria Garden,"€ 1,489"
109,Hotel Villa Emilia,"€ 1,409"
110,Catalonia Gracia,"€ 1,099"
111,Apartaments Marina - Abapart,"€ 1,449"
112,Hostal Operaramblas,"€ 1,006"
113,Magatzem 128,"€ 1,275"
114,Mihlton Barcelona Boutique B&B,"€ 1,115"
115,Suites Avenue,"€ 1,968"
116,Hotel Santa Marta,"€ 1,172"
117,Suite Place Barcelona Diputació,"€ 1,496"
118,Catalonia Portal de l'Angel,"€ 1,385"
119,Hotel Via Augusta,"€ 1,210"
120,Fira Apartments by gaiarooms,"€ 1,621"
121,MH Apartments Urban,"€ 1,360"
122,Catalonia Roma,"€ 1,080"
