,hotel_name,rating,room_description,price,location_descirption,long_description
0,Hotel Turin Barcelona,8.2,"Double Room
1 double bed
Free cancellation","€ 1,323","Ciutat Vella, BarcelonaShow on map450 m from centreMetro accessBeach nearby","You're eligible for a Genius discount at Hotel Turin Barcelona! To save at this property, all you have to do is sign in.
Hotel Turin Barcelona is located just 50 meters from the famous Ramblas in Barcelona. It offers free Wi-Fi, 24-hour reception, free luggage storage and a lovely sun terrace. There is free water, coffee and tea in the lobby lounge.

It features stylish rooms with wooden floors and furnishings. They are equipped with a private bathroom, hairdryer, safe, Smart TV and minibar.

The Turin Hotel is located just 150 meters from the Gothic District, 3 minutes from the Liceu metro and a 20-minute walk from the beach. In the area there are several restaurants, shops and supermarkets open until late.

The hotel offers a fabulous breakfast buffet. Most of the food items come from La Boquería Market, located 2 minutes' walk away."
1,Sonder Los Arcos,8.4,"King Room
1 extra-large double bed
Only 1 room left at this price on our site","€ 1,530","Ciutat Vella, BarcelonaShow on map1 km from centreMetro accessBeach nearby","Sonder Los Arcos features accommodation with free WiFi in Barcelona, ideally set less than 1 km from Plaça Catalunya and a 15-minute walk from Tivoli Theatre. Popular points of interest nearby include Cathedral of Barcelona, Boqueria Market and Picasso Museum. The property is less than 1 km from the city centre and 2 km from Sant Sebastian Beach.

All rooms are fitted with air conditioning, a flat-screen TV with cable channels, a coffee machine, a bath or shower, free toiletries and a desk. The rooms have a private bathroom, a hairdryer and bed linen.

Popular points of interest near the hotel include Passeig de Gracia, Palau de la Musica Catalana and Portal de l'Angel. The nearest airport is Barcelona El Prat Airport, 13 km from Sonder Los Arcos."
2,Hotel Sansi Barcelona,8.0,"Basic Double
1 double bed","€ 1,300","Eixample, BarcelonaShow on map450 m from centreMetro accessBeach nearby","You're eligible for a Genius discount at Hotel Sansi Barcelona! To save at this property, all you have to do is sign in.
Well situated in the Eixample district of Barcelona, Hotel Sansi Barcelona is set 600 metres from Plaça Catalunya, 400 metres from Passeig de Gracia Metro Station and 500 metres from Casa Batllo. This 4-star hotel offers room service, a 24-hour front desk and free WiFi. The property is 400 metres from Passeig de Gracia, and within 600 metres of the city centre.

The hotel will provide guests with air-conditioned rooms with a desk, a safety deposit box, a flat-screen TV and a private bathroom with a bath.

Popular points of interest near Hotel Sansi Barcelona include Boqueria Market, Tivoli Theatre and Palau de la Musica Catalana. The nearest airport is Barcelona El Prat Airport, 13 km from the accommodation."
3,ibis Styles Barcelona City Bogatell,8.5,"Standard Double Room
1 large double bed
Breakfast included
Free cancellation
No prepayment needed – pay at the property
Only 7 rooms left at this price on our site","€ 1,403","Sant Martí, BarcelonaShow on map2.1 km from centreMetro accessBeach nearby","Located in Barcelona, 900 metres from Port Olympic, ibis Styles Barcelona City Bogatell features private parking and free WiFi access. The hotel has an outdoor pool and children's playground, and guests can enjoy a drink at the bar.

A TV is available.

You will find a 24-hour front desk at the property.

You can play table tennis at the hotel. The hotel also offers bike hire. Picasso Museum is 1.5 km from ibis Styles Barcelona City Bogatell, while La Seu, Cathedral of Barcelona is 1.8 km from the property. The nearest airport is Barcelona El Prat Airport, 15 km from ibis Styles Barcelona City Bogatell."
4,SM Hotel Sant Antoni,8.6,"Double or Twin Room
Beds: 1 double or 2 singles
Only 1 room left at this price on our site","€ 1,197","Eixample, BarcelonaShow on map1.5 km from centreMetro accessBeach nearby","Situated 5 minutes' walk from the Sagrada Familia, this stylish, modern hotel offers a 24-hour reception desk and free Wi-Fi access available throughout. Monumental Metro Station is 200 metres away.

Rooms at SM Hotel Sant Antoni feature parquet floors, a safe, work desk and flat-screen TV. Decorated in white, black and red tones, they have air conditioning and heating, and the private bathroom comes with a hairdryer and toiletries.

The Sant Antoni offers a continental buffet breakfast, and drinks and snacks are available from the vending machines. A wide range of cafés and restaurants can be found within a 5-minute walk.

SM Hotel Sant Antoni is 900 metres from L’Auditori Concert Hall and the National Theatre. Glòries Shopping Centre and Passeig de Gràcia Boulevard can both be reached within a 20-minute walk. You can reach Plaza Catalunya in 10 minutes by bus or metro."
5,Four Points by Sheraton Barcelona Diagonal,8.8,"Classic King Room
1 extra-large double bed
Free cancellation
No prepayment needed – pay at the property
Only 3 rooms left at this price on our site","€ 1,724","Sant Martí, BarcelonaShow on map3 km from centreBeach nearby","Four Points by Sheraton Barcelona Diagonal is situated 350 metres from Glòries Shopping Centre, in the modern 22@ district of Barcelona. It offers an elegant restaurant and soundproofed rooms with free Wi-Fi and TV.

Rooms at the Four Points Barcelona Diagonal are bright and spacious, with wooden flooring. Each room has a stylish bathroom with a hairdryer and toiletries. Rooms on higher floors offer great views, some of the Sagrada Familia.

La Avenida Restaurant serves traditional Spanish cuisine. A varied buffet breakfast is offered daily, and free coffee is available from 05:00 until 07:00. Taste local crafted beers, snacks and enjoy the best sports projections at 4Taps Bar.

The Four Points Diagonal is 600 metres from the colourful Agbar Tower, designed by Jean Nouvel. There are many bars and restaurants on nearby Rambla del Poblenou, and Bogatell Beach is within a 15-minute walk. Poblenou Metro Station is only 500 metres away."
6,Hotel del Mar,8.4,"Room Assigned on Arrival
1 single bed","€ 1,205","Ciutat Vella, BarcelonaShow on map1.3 km from centreMetro accessBeach nearby","You're eligible for a Genius discount at Hotel del Mar! To save at this property, all you have to do is sign in.
Hotel del Mar is set in a listed building just 800 metres from the seafront and Barceloneta Metro Station. It is a 5-minute walk from the trendy Born neighbourhood and Ciutadella Park.

The air-conditioned rooms at Hotel del Mar have flat-screen satellite TV. There is a private bathroom with a hairdryer and amenities, and some rooms have a private balcony. A safe is also available with a surcharge.

Hotel del Mar has a 24-hour front desk. Barcelona’s França Train Station is a 5-minute walk away, and you can walk to Barcelona Cathedral and Maremagnum Shopping Centre in 10 minutes. Parking is available 5 minutes' walk from the property."
7,Golden Hotel Barcelona,8.4,"Double Room
Beds: 1 double or 2 singles
Free cancellation","€ 1,367","Sant Martí, BarcelonaShow on map2.3 km from centreMetro accessBeach nearby","Situated in Barcelona, 1.4 km from Sagrada Familia, Golden Hotel Barcelona is a sustainable property with the Biosphere certificate. It provides a rooftop terrace with outdoor swimming pool, jacuzzi and bar. 1.5 km from Port Olympic, the property is also 1.7 km from Sagarda Familia and 1.9 km away from Picasso Museum. There is a gym, a restaurant and a shared lounge.

 All guests staying at the Golden Hotel Barcelona get 1 free entry for person and stay to the spa at Hotel & Spa Villa Olimpic@ Suites complex (subject to availability and with prior reservation), located 450 meters away.

A buffet breakfast is available each morning at the property.

Speaking Spanish, Catalan, German and English at the reception, staff are ready to help around the clock.

Barcelona El Prat Airport is 15 km from the property."
8,Hotel Concordia Barcelona,8.2,"Basic Double Room
1 double bed
Free cancellation","€ 1,625","Sants-Montjuïc, BarcelonaShow on map1.6 km from centreMetro accessBeach nearby","Hotel Concordia Barcelona is situated 800 metres from Plaza España and the Fira de Barcelona Exhibition Centre. It features a sun terrace with an outdoor swimming pool, hot tub, cocktail bar and solarium.

The Hotel Concordia Barcelona’s bright, spacious rooms feature contemporary décor and air conditioning.  Each room includes free WiFi, a flat-screen TV, safe, minibar and a private bathroom with a range of amenities.

The Concordia Barcelona’s modern, elegant  Bistro Triple Sec Restaurant serves typical Mediterranean cuisine. The varied breakfast buffet includes healthy options. There is also a café and cocktail bar open daily. Private parking is available on site for an extra cost and electrical cars charging station is available.

Located next to Poble Sec Station, the hotel is a 5-minute Metro journey from Barcelona Port and La Rambla. You can also walk to the Rambla in 15 minutes. Direct airport buses stop in Plaza España, a 15-minute walk away.

Private parking is available on site for an extra cost."
9,Allegro Barcelona,8.8,"Superior Double Room
Beds: 1 double or 2 singles
Only 4 rooms left at this price on our site","€ 1,427","Eixample, BarcelonaShow on map1.3 km from centreMetro access","You're eligible for a Genius discount at Allegro Barcelona! To save at this property, all you have to do is sign in.
Allegro Barcelona is a futuristic design hotel, situated 100 metres from Barcelona’s Diagonal Metro Station. Its stylish rooms include free Wi-Fi, digital radio and LCD TV with satellite channels.

Each room at Allegro Barcelona features elegant white décor with colourful touches. Rooms are air-conditioned and come with an electronic safe. Bathrooms include a hairdryer and toiletries.

A continental breakfast buffet is served until 10:30 each day at Allegro Barcelona. Numerous tapas bars and pavement cafés can be found on Rambla de Catalunya, a 5-minute walk away.

Other facilities include portable WiFi for no charge.

The famous Gaudi buildings and designer shops of Passeig de Gracia are just 500 metres from the hotel, while Plaza Catalunya is a 15-minute walk away. Staff at the 24-hour reception can provide information about Barcelona, recommend excursions and arrange airport transfers."
10,Ibis Barcelona Plaza Glòries 22@,8.3,"Double Room
1 large double bed
Breakfast included
Free cancellation
No prepayment needed – pay at the property
Only 7 rooms left at this price on our site","€ 1,279","Sant Martí, BarcelonaShow on map2.6 km from centreMetro accessBeach nearby","Ibis Barcelona Plaza Glòries 22@ is located in Barcelona’s Glòries district, 500 metres from Torre Agbar. It offers a fitness centre, 24-hour bar and soundproofed rooms with a flat-screen TV.

All rooms at the Ibis Plaza Glòries have air conditioning and heating. They also have a private bathroom with a hairdryer. Free Wi-Fi is offered throughout.

The Hotel Ibis Plaza Glòries has a restaurant which serves a buffet breakfast. Rates with breakfast included does not include breakfast for children. Children under 12 can enjoy breakfast for 4 euros per person

Llacuna and Glòries Metro Stations are within 5 minutes’ walk from the hotel. From here you can reach Plaza Catalunya or Barceloneta Beach in under 10 minutes."
11,Hotel Glòries,7.9,"Double or Twin Room
Beds: 1 double or 2 singles
Free cancellation
No prepayment needed – pay at the property","€ 1,086","Eixample, BarcelonaShow on map1.9 km from centreMetro accessBeach nearby","This modern hotel is located 200 metres from Barcelona’s Monumental Bull Ring and 12 minutes from the Sagrada Familia. The rooms all have air conditioning and heating, satellite TV and free Wi-Fi.

Monumental Metro Station is just 3 minutes’ walk away from Hotel Glòries, and offers a direct service to Plaza Catalunya in around 5 minutes.

The hotel is well located for the 22@ high-tech area, as well as the Agbar Tower. The National Theatre of Catalunya and the Auditori Concert Hall are just 400 metres away.

The Hotel Glòries’s 24-hour front desk offers car and bike hire. They can also exchange currency and reserve tickets."
12,Aparthotel Senator Barcelona,7.6,"Double or Twin Room with Kitchen - Ground Floor
Beds: 1 double or 2 singles
Free cancellation
Only 2 rooms left at this price on our site","€ 1,274","Sarrià-St. Gervasi, BarcelonaShow on map2.6 km from centreMetro access","You're eligible for a Genius discount at Aparthotel Senator Barcelona! To save at this property, all you have to do is sign in.
The Aparthotel Senator Barcelona is situated on Via Augusta, in a pleasant residential area, a 2-minute walk from Muntaner Train Station. It includes air conditioning, heating, and free Wi-Fi in hotel rooms.

All rooms and apartments have a TV, telephone, and a private bathroom with a bathtub or a shower. The apartments also include an equipped with kitchenette.

A 6-minute train ride will take you to Plaza Cataluña and Barcelona city centre. Sagrada Familia Cathedral is 3.3 km away."
13,Hotel Lloret Ramblas,8.0,"Superior Double Room
1 double bed
Only 3 rooms left at this price on our site","€ 1,379","Ciutat Vella, BarcelonaShow on map250 m from centreMetro accessBeach nearby","Hotel Lloret Ramblas is situated on Barcelona’s famous Las Ramblas, just outside Plaza Catalunya Square. It offers a 24-hour reception and air-conditioned rooms with flat-screen satellite TV and free Wi-Fi.

Each functional room at the Lloret Ramblas Hotel features a work desk and a private bathroom with amenities. Some rooms also have a private balcony.

Breakfast is served in Hotel Lloret Ramblas’s beautiful lounge-dining room, which dates from the early 20th century. The reception area has a free PC with internet and a free safe.

Barcelona Cathedral and the MACBA Modern Art Museum are both around 500 metres from Hotel Lloret. Catalunya Metro Station is a 1-minute walk away, and direct airport buses stop within 100 metres."
14,Catalonia Gran Via BCN,8.7,"Superior Double Room
Beds: 1 double or 2 singles
Free cancellation
No prepayment needed – pay at the property","€ 1,619","Eixample, BarcelonaShow on map0.9 km from centreMetro accessBeach nearby","You're eligible for a Genius discount at Catalonia Gran Via BCN! To save at this property, all you have to do is sign in.
Catalonia Gran Via BCN is set on Gran Vía and within 5 minutes’ walk of Urgell and Universitat Metro Stations, and beside the airport bus stop. It features an outdoor swimming pool, a gym and free Wi-Fi.

Each of the modern rooms at Catalonia Gran Via BCN is themed around a different city and air travel. All rooms have flat-screen TVs with satellite channels and an iPod docking station.

You can enjoy breakfast in Catalonia Gran Via BCN, while à la carte options are offered in the Gourmet Corner.

You can walk to both Plaza Catalunya and Las Ramblas in 10 minutes. Plaza de España, the Magic Fountains and the FIRA are just 2 stops from Urgell Station."
15,Unite Hostel Barcelona,8.2,"Double Room with Private Bathroom
Multiple bed types
Free cancellation
Only 2 rooms left at this price on our site","€ 2,027","Sant Martí, BarcelonaShow on map2.2 km from centreMetro accessBeach nearby","Set in Barcelona, 400 metres from Nova Icaria, Unite Hostel Barcelona offers accommodation with a restaurant, private parking, a bar and a shared lounge. Among the facilities at this property are a 24-hour front desk and a shared kitchen, along with free WiFi throughout the property. The hostel features family rooms.

At the hostel, all rooms are fitted with air conditioning and a private bathroom.

The accommodation offers a terrace.

Popular points of interest near Unite Hostel Barcelona include Somorrostro, Bogatell and Port Olimpic. The nearest airport is Barcelona El Prat Airport, 18 km from the hostel."
