,hotel_name,price_week_before
0,Ciudad Condal Hostal - Paseo de Gracia,€ 996
1,DO Plaça Reial powered by Sonder,"€ 2,478"
2,SEALONA VILA OLIMPICA,€ 596
3,Catalonia Sagrada Familia,€ 970
4,Catalonia Atenas,"€ 1,019"
5,Catalonia Park Putxet,€ 839
6,Hostal Excellence,€ 669
7,Catalonia Albeniz,"€ 1,070"
8,Sallés Hotel Pere IV,"€ 1,439"
9,Catalonia Barcelona 505,"€ 1,039"
10,Catalonia Diagonal Centro,"€ 1,168"
11,Hotel Cantón,€ 894
12,Hotel & Spa Villa Olimpica Suites,"€ 1,146"
13,Golden Hotel Barcelona,"€ 1,155"
14,Ciutat Vella,"€ 1,174"
15,Catalonia Eixample 1864,"€ 1,289"
16,Zenit Borrell,"€ 1,130"
17,Catalonia Park Güell,€ 830
18,Zenit Barcelona,"€ 1,189"
19,Hesperia Barcelona Del Mar,"€ 1,284"
20,Acta Antibes,€ 932
21,Travelodge Barcelona Poblenou,€ 874
22,Hotel Acta Laumon,€ 842
23,Catalonia Portal de l'Angel,"€ 1,385"
24,Gran Hotel Havana 4Sup by Escampa Hotels,"€ 1,529"
25,Ola Living Hostal Diagonal,€ 794
26,Pensión Villanueva,€ 940
27,Catalonia Avinyo,"€ 1,236"
28,Hotel Lleó,"€ 1,300"
29,Catalonia Roma,"€ 1,061"
30,Catalonia Gran Via BCN,"€ 1,359"
31,Catalonia Rigoletto,"€ 1,219"
32,Hesperia Barcelona Barri Gòtic,"€ 1,322"
33,"The Hoxton, Poblenou","€ 1,750"
34,Hotel Sant Agustí,"€ 1,246"
35,Sercotel Caspe,"€ 1,170"
36,Hotel Medicis,€ 878
37,Hostal Mayerling Centro,"€ 1,167"
38,Hotel Derby,"€ 1,266"
39,Charmsuites Nou Rambla,"€ 1,226"
40,Aparthotel Napols - Abapart,"€ 1,420"
41,Hotel Astoria,"€ 1,314"
42,AC Hotel Victoria Suites by Marriott,"€ 1,379"
43,BcnStop Sagrada Familia,€ 914
44,Catalonia Passeig de Gràcia 4* Sup,"€ 1,789"
45,Catalonia Born,"€ 1,369"
46,Charmsuites Paralel,"€ 1,226"
47,Acta Voraport,"€ 1,612"
48,Ilunion Auditori,"€ 1,212"
49,Catalonia Gracia,"€ 1,429"
50,Residencia Universitaria Barcelona Diagonal,"€ 1,070"
51,Hostal Barcelona Travel,"€ 1,154"
52,Catalonia Plaza Catalunya,"€ 1,589"
53,Colors,€ 619
54,Hostal Central Barcelona,"€ 1,312"
55,Catalonia Ramblas 4* Sup,"€ 1,659"
56,Hotel Concordia Barcelona,"€ 1,356"
57,Hotel Via Augusta,"€ 1,250"
58,Suites Avenue,"€ 1,968"
59,Hotel Barcelona Center,"€ 1,621"
60,Unite Hostel Barcelona,"€ 1,266"
61,Ilunion Bel-Art,"€ 1,307"
62,Catalonia Square 4* Sup,"€ 1,809"
63,Hostal Levante Barcelona,€ 870
