,hotel_name,rating,room_description,price,location_descirption,hotel_link,long_description
0,Vatican Cozy Suites - Liberty Collection,7.5,"Deluxe Room
1 large double bed
Only 2 rooms left at this price on our site","€ 1,974","Vaticano Prati, RomeShow on map2.2 km from centreMetro access",https://www.booking.com/hotel/it/vatican-cozy-suites-liberty-collection.en-gb.html?label=gen173nr-1FCAEoggI46AdICVgEaEaIAQGYAQm4ARfIAQ_YAQHoAQH4AQOIAgGoAgO4AsGD5q0GwAIB0gIkNWM5OGQ1NGItOWNhOS00Y2E3LTg5ZjEtNmM5ZDc3ZmNkNzQy2AIF4AIB&sid=a05cc301b29d85d9200aec03df0154c7&aid=304142&ucfs=1&arphpl=1&checkin=2024-05-27&checkout=2024-06-02&dest_id=-126693&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=1&hapos=1&sr_order=popularity&srpvid=227b0161bc5a017f&srepoch=1706659911&all_sr_blocks=948077301_367384385_2_0_0&highlighted_blocks=948077301_367384385_2_0_0&matching_block_id=948077301_367384385_2_0_0&sr_pri_blocks=948077301_367384385_2_0_0__197400&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,"You're eligible for a Genius discount at Vatican Cozy Suites - Liberty Collection! To save at this property, all you have to do issign in.Attractively set in the centre of Rome, the recently renovated Vatican Cozy Suites - Liberty Collection offers well-equipped accommodation featuring air conditioning, free WiFi and flat-screen TV. Popular points of interest nearby include Vatican Museums, St Peter's Square and The Vatican. The accommodation features a lift, and luggage storage for guests.

This guest house is non-smoking and soundproof.

Popular points of interest near the guest house include Lepanto Metro Station, Ottaviano Metro Station and Castel Sant'Angelo. The nearest airport is Rome Ciampino, 17 km from Vatican Cozy Suites - Liberty Collection, and the property offers a paid airport shuttle service."
1,UNAHOTELS Trastevere Roma,8.7,"Superior Double or Twin Room
Beds: 1 double or 2 singles
Only 5 rooms left at this price on our site","€ 2,396","Trastevere, RomeShow on map1.5 km from centre",https://www.booking.com/hotel/it/unahotels-trastevere-roma.en-gb.html?label=gen173nr-1FCAEoggI46AdICVgEaEaIAQGYAQm4ARfIAQ_YAQHoAQH4AQOIAgGoAgO4AsGD5q0GwAIB0gIkNWM5OGQ1NGItOWNhOS00Y2E3LTg5ZjEtNmM5ZDc3ZmNkNzQy2AIF4AIB&sid=a05cc301b29d85d9200aec03df0154c7&aid=304142&ucfs=1&arphpl=1&checkin=2024-05-27&checkout=2024-06-02&dest_id=-126693&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=2&hapos=2&sr_order=popularity&srpvid=227b0161bc5a017f&srepoch=1706659911&all_sr_blocks=804937501_341886058_2_2_0&highlighted_blocks=804937501_341886058_2_2_0&matching_block_id=804937501_341886058_2_2_0&sr_pri_blocks=804937501_341886058_2_2_0__239600&nad_id=4f616a85-7d60-4cc8-b5bb-895cc8109aec_0&nad_cpc=0.5&nad_track=eyJyYW5rIjoxLCJrb2RkaVRyYWNraW5nSW5mbyI6Ikw4aEtqODZOVTJvb1lPVlJqNkIzMTQ2NE5ob0MvamdkM3E4M081bHFndGJsMHJPNTNtVXdEYXNzSUtWdXhlYzdOaWdNalpFdVh4b2lKWExNaHQxRVdLZzNRWUt2a2lDSUlucFpEWjh5NmRZeExwd2plVnFIajNDN3F5VHdkWXp2QkNqYXpaaFp1Vml5b2tQNDlaT2tLblpFN0NCRUZCRDFNK0FpWHV3MXVOVHp1Yk9JNGdXdk9ZcGUzVG5mUWN0RnowcnY4eVdFenpWVytUaDUrc3A2bW11TFRGYVVCeDNqQXJhdjZTM29ITUkwVlVyNldGdGc0VUJEeWVTc1hBMFVNd1p1OU1HSmZ5TFlhNTNhdGVINDBucTcxMWNWeXZENkp1WUxqakFhQkRiNFNTQ0NGbGNHd0NUV0xJaEZEeXUwNDBaeVM1TUd0VzJwcTVWRTRBYWs2aU04cGpaUWdmNFBXOEtDajVRVkJiQlVhNDFLWnFUaDhQOXhlaGFYZVBNNlZSTFZWZzR2QS9jVVdiMllDcmVHWUdSczYrZnVWZTJabVdJUUxZK0o0ZUR3UGhkWGhjb0FuSUNkVVhRcEFwZXBodFc1aG8xVEpxZzY3Tm9zZHA5ck9qUWZDSmszcVJBS05zSHhrQlRJbURXd0xuS3RzZS9vWDJHT29zQVJXdzh5b2NETk5zeG5xK0pTckJXaEpxVDJOaU9vbURPL0RES2FTcTgxaHN1cElkYXhDWGUreEdOcDVBb0JveVZaaGV1bzhXNWZzYWNodHZ4dEN1d3k0MWZteXlTUXd3THVvQ0hnWk1VYVU3Nm1GcThjZTB3WGhSRHNvUUpYZitMU0pXQlhiYjB4dEZuZ1FuRFUzUjd0cS9ud1R5ZzZIdDVjcXhPckh5dm5nbHVtZERiY2xNTklSTzZBb01Nc3l0N0VaWHU1K3lsc3JlbmFhMWJLUjVWaFJDc2VFYmFiMHpaTlovUUZBR3pwazlxNTM3M01Fa3dIQjQzSldRVVpxT0kyRDEyTUl3L1ZndCtmZDhWYVYwdlc3Rk95bFpmZ1NZYUUyNjdEUmJUL3Jzb2t6elc0cFYrTG91RWRDakxvcklOK3dTWW8wcXZKOHdqNENPU0Rtd0NLRmc3VHBPd20vVTlyN1FwRFJoT21IYjZwVDhHOUl3VW9VVUUyTHB2YkdDS3VqSkx6WlB6Qmx5b0RRREJERmJxZ2oyK0FqU0NuK0llUHBNYnZnOC9MczJxS1Vzc242aVQ5Zk5VL1lsaFBlTmZETGxPbDd0bndZN0xBZSt4NEhUTlR6THJ6WXhjdGtldE5SZWwyYUZMS1J0WFBDYkZ1QURiL2dacTdhR3Zvd3cybERXWnIwTGQ2Q3hqRzZ2b1U1SWh1VXU3SEk4Z1NiTEsvQjk1bHdxNWtyWDRyWjhER20zK3IyN0ZKZFdaUThtSHBCc1NDS25OZFVweWp5TUhLNXRQMFZEN1lJajM5bnBtWVY0UFNqNmVPM05pM01EU2pPOTJTYnhWRmNaOUJqMlh5UHVzRDRwWWhWeEhoMlZtREhSQ0dFNkp5V2NvZWVSeENNSlJuZXgwazZpdjBYQWdTSWFPNzlpdjJtOWJOVjEvMk1wNUJiZU9qYzlNSXc5blhrUlJiSE1CTWZTVk9RQUJwZUZiTjVrMTJua0Izd0RRbFdyU2Y3Z3J4b3dzczljdkROZWZGMTZXUUY2eE1CTkU2NFlqYnMwT0pUaW9DSVlKbkVFMmZnaXhnOXFzeGk1dXA5RWl6V2NScGdzVU16dERNVWIyUm5Jc3UwcDlNNHZGb1AyRjNTbjNoWm8wYUtVY041SjRkbjVIODJndjRHbGFvQTRQdDNESFIvZHI5MFB2YlI4WEkyNVB3VVptNjNJS1Mwd0tyblBRall2NUxOM1dyQVVEOU92Y21ZaXhQUXpja0Fld1Z2NTlrdTNhSmthVUdZZXIrdmtrV0FWYWw3cDNGRDc0RXpoSnFRSUZ3VFBjaVVlL09oaDFkQ1g3U3BmM3RlV3VkZjlSSUVyQkt3VjlXd1dKeC9EWFFHK1FMVVBmTTMrU201N0xXREwzR2x4dGFucW9xNzlERlh6V3VoVTE5L3N0Zk9nQkRhS3NjUFkzZkUyQitIZDZhdzkxZ3I4Z3dMQWF1VXhTVlY2MVpDWnJlTitWdjRUdCtwL1F3TzZUa1JKTmJqWmVzYmc4a053WHhxTENsU3VzL053WHovWW9RdEhyOWs1SjBGSHVKR0dlN21lUnpLNkNJNXROT1MrN1oybEJwU25jN0JzK0wvcndNam1ZS1p1Q0JTcmhzZFYyQ0hYTFR1Z2gwbHlhcTdpbnh2R2dTOGN1cTQ5RVhuajlST2JrU0RVOTM3L0Vpd250UFRDM1JtOWRRVnU4UUFUWXB1dU5kVjlFalZhUmFQakpDR21XdzZySDNHZ1Z0VUovTU40eFJtLzMvditxaGl6emdvTFhxODBIZjdialVRLzBXOTUxQWlYbWVXUFhVaTFRaVNZODNuaG1uV0pES2RmVmxvZTVsOUs5OWxsc2wzTUM0eTZHNldrNkRIMDVNWCtnTVhZVGZyYm1oVld5T0VYZHNlSU82QWloYnN0K2JGUFNnN1FHcEo4NVRTK2YyeUVybVM0cVRNaE1aNnRBYWNSL0htanhycGF1M01hMUF2bE8vb2czTXhTbTQxUXBmRjAvdUFBTkVXZEU4SzlTSFJ4ZFBadU5uZ291cjRXM1VXVDdBa0UyZFZnNGFYalFpTEUzN1gzRHNldXpoSEpEV0ZBeFpYWFloekZnajNuZktSSVpvWjgxa2hxNjg0cXdDL080MFRpZzVhdXNoL0lYVkpOVllqd3c4L3Z1bENOeEJoNTRDT1NxZ0daMGhFblNUM0sxS1lueUphZ3Z0VEIzVUdvbDZlVmo0OFJPV004V1pyMTcrZEhqV1V5aDYzdG5CRmRVcXhFNTBTSEFtQkEvcTM1SEw5emppUTJHUDNacnZOMXB6MGcwdmU5THFFaWlWN3NVZkFMY3hlNElRQnVRWVlsMUszdFY1dWYvM1V0NkljS1JsTy80QlBOVm52eEhBU0QwR0pSakpTRkNNMXJSdEgrd1cyMXN0Qi9ZVVcyWWxzRFlRSlI1Tkc2a283cjVnZHdpdzlZQmEzUDBYbkoxRi8zbGNuMVVCbnRjQWtKQUsyckE2RHBVNytxdm5JSlNOYng3a1ZpTDhsK0wyZUtITmtJeU05WkJ5ZlU4cjJLWmZtYnNhS29kVmhSakY2cHFqSFdkei96VTZEUjl1ZFRwNGtTalVCcmsyaS9JcUxPZ3hXWWxCdDNjSTJkeTVzMy9OODlKdzhtbm1YUms9In0%3D&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,"You're eligible for a Genius discount at UNAHOTELS Trastevere Roma! To save at this property, all you have to do issign in.Well situated in Rome, UNAHOTELS Trastevere Roma offers air-conditioned rooms, a shared lounge, free WiFi and a terrace. This 4-star hotel offers room service and a 24-hour front desk. Guests can have a drink at the bar.

At the hotel, every room includes a desk. The private bathroom is equipped with a bidet, free toiletries and a hairdryer. The units at UNAHOTELS Trastevere Roma come with a flat-screen TV with satellite channels and a safety deposit box.

A continental, Italian or vegetarian breakfast can be enjoyed at the property. At the accommodation you will find a restaurant serving Italian, Mediterranean and local cuisine. Vegetarian, dairy-free and gluten-free options can also be requested.

Popular points of interest near UNAHOTELS Trastevere Roma include Piazza di Santa Maria in Trastevere, Campo de' Fiori and Roman Forum. The nearest airport is Rome Ciampino, 16 km from the hotel, and the property offers a paid airport shuttle service."
2,The best and new apartment near colesseo,,"One-Bedroom Apartment
1 double bed
Free cancellation
Only 1 left at this price on our site",€ 405,"Colosseum, RomeShow on map0.5 km from centreMetro access",https://www.booking.com/hotel/it/the-best-and-new-apartment-near-colesseo.en-gb.html?label=gen173nr-1FCAEoggI46AdICVgEaEaIAQGYAQm4ARfIAQ_YAQHoAQH4AQOIAgGoAgO4AsGD5q0GwAIB0gIkNWM5OGQ1NGItOWNhOS00Y2E3LTg5ZjEtNmM5ZDc3ZmNkNzQy2AIF4AIB&sid=a05cc301b29d85d9200aec03df0154c7&aid=304142&ucfs=1&arphpl=1&checkin=2024-05-27&checkout=2024-06-02&dest_id=-126693&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=3&hapos=3&sr_order=popularity&srpvid=227b0161bc5a017f&srepoch=1706659911&all_sr_blocks=1145306401_387365131_2_0_0&highlighted_blocks=1145306401_387365131_2_0_0&matching_block_id=1145306401_387365131_2_0_0&sr_pri_blocks=1145306401_387365131_2_0_0__40534&from=searchresults#hotelTmpl,"Situated 70 metres from Roman Forum, 800 metres from Palazzo Venezia and 700 metres from Piazza Venezia, The best and new apartment near colesseo features accommodation located in Rome. Popular points of interest nearby include Coliseum, Cavour Metro Station and Palatine Hill. Colosseo Metro Station is 600 metres from the apartment.

The accommodation is non-smoking.

Popular points of interest near the apartment include Synagogue of Rome, Largo di Torre Argentina and Domus Aurea. The nearest airport is Rome Ciampino Airport, 15 km from The best and new apartment near colesseo."
3,Guest's Heaven,9.1,"Double Room with Queen Bed - Basement
1 large double bed
Free cancellation
Only 1 room left at this price on our site",€ 661,RomeShow on map3.7 km from centreMetro access,https://www.booking.com/hotel/it/guest-39-s-heaven.en-gb.html?label=gen173nr-1FCAEoggI46AdICVgEaEaIAQGYAQm4ARfIAQ_YAQHoAQH4AQOIAgGoAgO4AsGD5q0GwAIB0gIkNWM5OGQ1NGItOWNhOS00Y2E3LTg5ZjEtNmM5ZDc3ZmNkNzQy2AIF4AIB&sid=a05cc301b29d85d9200aec03df0154c7&aid=304142&ucfs=1&arphpl=1&checkin=2024-05-27&checkout=2024-06-02&dest_id=-126693&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=4&hapos=4&sr_order=popularity&srpvid=227b0161bc5a017f&srepoch=1706659911&all_sr_blocks=154632908_207240711_2_0_0&highlighted_blocks=154632908_207240711_2_0_0&matching_block_id=154632908_207240711_2_0_0&sr_pri_blocks=154632908_207240711_2_0_0__66060&from=searchresults#hotelTmpl,"Set in the Nomentano district in Rome, 400 metres from Via Salaria, Guest's Heaven boasts air-conditioned rooms with free WiFi throughout the property.

The rooms have an LCD TV with satellite channels, a minibar, and memory-foam mattresses. Each room has a private bathroom.

Sant'Agnese Annibaliano Metro Station is just a 5-minute walk from the property, Villa Torlonia is 500 metres from Guest's Heaven, while Piazza Bologna is 800 metres away. Rome Ciampino Airport is 15 km from the property."
4,Guest House Prime Palace,8.8,"Double Room with Private Bathroom
1 large double bed
Free cancellation
Only 1 room left at this price on our site",€ 696,"San Giovanni, RomeShow on map2.5 km from centreMetro access",https://www.booking.com/hotel/it/guest-house-prime-palace.en-gb.html?label=gen173nr-1FCAEoggI46AdICVgEaEaIAQGYAQm4ARfIAQ_YAQHoAQH4AQOIAgGoAgO4AsGD5q0GwAIB0gIkNWM5OGQ1NGItOWNhOS00Y2E3LTg5ZjEtNmM5ZDc3ZmNkNzQy2AIF4AIB&sid=a05cc301b29d85d9200aec03df0154c7&aid=304142&ucfs=1&arphpl=1&checkin=2024-05-27&checkout=2024-06-02&dest_id=-126693&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=5&hapos=5&sr_order=popularity&srpvid=227b0161bc5a017f&srepoch=1706659911&all_sr_blocks=1103885502_383215205_0_0_0&highlighted_blocks=1103885502_383215205_0_0_0&matching_block_id=1103885502_383215205_0_0_0&sr_pri_blocks=1103885502_383215205_0_0_0__69600&from=searchresults#hotelTmpl,"You're eligible for a Genius discount at Guest House Prime Palace! To save at this property, all you have to do issign in.Conveniently situated in the San Giovanni district of Rome, Guest House Prime Palace is situated 1.3 km from Ponte Lungo Metro Station, 1.4 km from Porta Maggiore and 1.6 km from Vittorio Emanuele Metro Station. It is located 400 metres from San Giovanni Metro Station and provides a lift. Palatine Hill is 2.5 km from the guest house and Santa Maria Maggiore is 2.7 km away.

All units feature air conditioning and a flat-screen TV. With a private bathroom equipped with a bidet and slippers, units at the guest house also offer free WiFi, while some rooms are equipped with a balcony. At the guest house, each unit is equipped with bed linen and towels.

Coliseum is 1.9 km from the guest house, while Domus Aurea is 1.8 km away. The nearest airport is Rome Ciampino Airport, 12 km from Guest House Prime Palace."
5,Rooms Piramide,7.0,"Double Room with Private Bathroom
1 double bed
Free cancellation
Only 2 rooms left at this price on our site",€ 589,"Aventino, RomeShow on map2.5 km from centreMetro access",https://www.booking.com/hotel/it/rooms-piramide.en-gb.html?label=gen173nr-1FCAEoggI46AdICVgEaEaIAQGYAQm4ARfIAQ_YAQHoAQH4AQOIAgGoAgO4AsGD5q0GwAIB0gIkNWM5OGQ1NGItOWNhOS00Y2E3LTg5ZjEtNmM5ZDc3ZmNkNzQy2AIF4AIB&sid=a05cc301b29d85d9200aec03df0154c7&aid=304142&ucfs=1&arphpl=1&checkin=2024-05-27&checkout=2024-06-02&dest_id=-126693&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=6&hapos=6&sr_order=popularity&srpvid=227b0161bc5a017f&srepoch=1706659911&all_sr_blocks=961407701_368761501_0_0_0&highlighted_blocks=961407701_368761501_0_0_0&matching_block_id=961407701_368761501_0_0_0&sr_pri_blocks=961407701_368761501_0_0_0__58890&from=searchresults#hotelTmpl,"Set in Rome, 1.4 km from Roma Trastevere Train Station and 2.5 km from Basilica San Paolo Metro Station, Rooms Piramide offers accommodation with free WiFi in a historic building. This recently renovated guest house is located 2.7 km from Domus Aurea and 2.9 km from Coliseum. Roman Forum is 3 km from the guest house and Palatine Hill is 3.1 km away.

The guest house provides certain units with city views, and the units are fitted with a private bathroom.

Synagogue of Rome is 3.9 km from the guest house, while Piazza di Santa Maria in Trastevere is 3.9 km away. The nearest airport is Rome Ciampino Airport, 15 km from Rooms Piramide."
6,Ostello Villa Monte Mario,7.6,"Twin Room
2 single beds
Breakfast included
Free cancellation
No prepayment needed – pay at the property",€ 564,"Trionfale, RomeShow on map4.8 km from centre",https://www.booking.com/hotel/it/casa-per-ferie-delle-suore-carmelitane-del-divin-cuore-di-gesu.en-gb.html?label=gen173nr-1FCAEoggI46AdICVgEaEaIAQGYAQm4ARfIAQ_YAQHoAQH4AQOIAgGoAgO4AsGD5q0GwAIB0gIkNWM5OGQ1NGItOWNhOS00Y2E3LTg5ZjEtNmM5ZDc3ZmNkNzQy2AIF4AIB&sid=a05cc301b29d85d9200aec03df0154c7&aid=304142&ucfs=1&arphpl=1&checkin=2024-05-27&checkout=2024-06-02&dest_id=-126693&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=7&hapos=7&sr_order=popularity&srpvid=227b0161bc5a017f&srepoch=1706659911&all_sr_blocks=35574602_195917727_0_1_0&highlighted_blocks=35574602_195917727_0_1_0&matching_block_id=35574602_195917727_0_1_0&sr_pri_blocks=35574602_195917727_0_1_0__56400&from=searchresults#hotelTmpl,"Set in a quiet location inside a large park, Ostello Villa Monte Mario offers rooms with a flat-screen TV, and free WiFi. Gemelli Train Station is 2 km away.

Each room features cool tiled floors, satellite channels, and a private bathroom with a hairdryer.

A buffet breakfast is provided daily and includes juices, coffee and pre-packaged ingredients.

There is a church on site, and a relaxing lounge with sofas and a TV.

The Policlinico Gemelli hospital is 2 km form the property, while the Olimpico stadium is a 15-minute drive away."
7,hu Roma Camping In Town,7.8,"Standard Bungalow
Entire bungalow • 1 bedroom • 1 bathroom • 16m²
3 beds (2 singles, 1 sofa bed)
Free cancellation
Only 2 left at this price on our site",€ 494,"Aurelio, RomeShow on map6.5 km from centre",https://www.booking.com/hotel/it/camping-village-roma.en-gb.html?label=gen173nr-1FCAEoggI46AdICVgEaEaIAQGYAQm4ARfIAQ_YAQHoAQH4AQOIAgGoAgO4AsGD5q0GwAIB0gIkNWM5OGQ1NGItOWNhOS00Y2E3LTg5ZjEtNmM5ZDc3ZmNkNzQy2AIF4AIB&sid=a05cc301b29d85d9200aec03df0154c7&aid=304142&ucfs=1&arphpl=1&checkin=2024-05-27&checkout=2024-06-02&dest_id=-126693&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=8&hapos=8&sr_order=popularity&srpvid=227b0161bc5a017f&srepoch=1706659911&all_sr_blocks=24864713_295432772_0_2_0&highlighted_blocks=24864713_295432772_0_2_0&matching_block_id=24864713_295432772_0_2_0&sr_pri_blocks=24864713_295432772_0_2_0__49368&from=searchresults#hotelTmpl,"You're eligible for a Genius discount at hu Roma Camping In Town! To save at this property, all you have to do issign in.Just 15 minutes' drive from the Vatican, hu Roma Camping In Town features a seasonal outdoor pool, hot tub and a poolside bar. Free Wi-Fi is available in the common areas and free parking is also provided.

hu Roma Camping In Town offers chalets and air-conditioned bungalows.

Guests can enjoy drinks and snacks throughout the day at the property's various refreshment points.

Cornelia Metro Station on line A is just a short bus ride away. The Camping also offers a paid shuttle service to both Fiumicino and Ciampino airports."
8,Livia Valeria Palace,9.1,"Superior Double or Twin Room
1 extra-large double bed
Free cancellation
Only 2 rooms left at this price on our site","€ 1,106","Gianicolense, RomeShow on map4 km from centre",https://www.booking.com/hotel/it/livia-valeria-palace-roma.en-gb.html?label=gen173nr-1FCAEoggI46AdICVgEaEaIAQGYAQm4ARfIAQ_YAQHoAQH4AQOIAgGoAgO4AsGD5q0GwAIB0gIkNWM5OGQ1NGItOWNhOS00Y2E3LTg5ZjEtNmM5ZDc3ZmNkNzQy2AIF4AIB&sid=a05cc301b29d85d9200aec03df0154c7&aid=304142&ucfs=1&arphpl=1&checkin=2024-05-27&checkout=2024-06-02&dest_id=-126693&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=9&hapos=9&sr_order=popularity&srpvid=227b0161bc5a017f&srepoch=1706659911&all_sr_blocks=762251004_385653228_2_0_0&highlighted_blocks=762251004_385653228_2_0_0&matching_block_id=762251004_385653228_2_0_0&sr_pri_blocks=762251004_385653228_2_0_0__110637&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,"You're eligible for a Genius discount at Livia Valeria Palace! To save at this property, all you have to do issign in.Located in Rome, 2.8 km from Piazza di Santa Maria in Trastevere and 3.4 km from Synagogue of Rome, Livia Valeria Palace provides accommodation with free WiFi, air conditioning, a seasonal outdoor swimming pool and a garden.

All units come with a seating area, a flat-screen TV and a private bathroom with bathrobes, hot tub, bidet and shower. A microwave, a fridge and minibar are also provided, as well as a kettle.


At Livia Valeria Palace guests are welcome to take advantage of a hot tub.

A car rental service is available at the accommodation.

Campo de' Fiori is 3.5 km from Livia Valeria Palace, while Palatine Hill is 3.7 km away. The nearest airport is Rome Ciampino, 14 km from the aparthotel, and the property offers a paid airport shuttle service."
9,Hotel Texas,7.0,"Twin Room with Shared Bathroom
Beds: 1 double or 2 singles
Free cancellation
Only 1 room left at this price on our site",€ 654,"Central Station, RomeShow on map1.2 km from centreMetro access",https://www.booking.com/hotel/it/hoteltexasroma.en-gb.html?label=gen173nr-1FCAEoggI46AdICVgEaEaIAQGYAQm4ARfIAQ_YAQHoAQH4AQOIAgGoAgO4AsGD5q0GwAIB0gIkNWM5OGQ1NGItOWNhOS00Y2E3LTg5ZjEtNmM5ZDc3ZmNkNzQy2AIF4AIB&sid=a05cc301b29d85d9200aec03df0154c7&aid=304142&ucfs=1&arphpl=1&checkin=2024-05-27&checkout=2024-06-02&dest_id=-126693&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=10&hapos=10&sr_order=popularity&srpvid=227b0161bc5a017f&srepoch=1706659911&all_sr_blocks=8093804_384362020_0_0_0&highlighted_blocks=8093804_384362020_0_0_0&matching_block_id=8093804_384362020_0_0_0&sr_pri_blocks=8093804_384362020_0_0_0__65400&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,"Boasting a very central location at the heart of Rome, Hotel Texas is 300 metres from Repubblica Metro Station and 10 minutes' walk from Termini Train Station. It offers simple rooms with free Wi-Fi.

With a multilingual staff and a 24-hour front desk, the Texas Hotel features a bar open day and night. Guests enjoy free maps of Rome and they can purchase an extensive sweet breakfast.

The hotel is a 10-minute walk from Rome's Trevi Fountain and Spanish Steps. The Vatican Museums can be reached by metro in just a few stops."
