,hotel_name,price_week_before
0,Pantheon Panoramic Rooftop Terrace Apartment,"€ 3,767"
1,DM69 - Termini Monti Crossroads,€ 917
2,TimeRoma Vatican,"€ 1,046"
3,numa I Linea,€ 982
4,Crosti Hotel,"€ 1,068"
5,little appartaments,€ 590
6,Vanity Hotel Navona,"€ 1,544"
7,San Cosimato 40 guesthouse,"€ 1,584"
8,Relais Giulia,"€ 1,264"
9,Divine Bed & Breakfast,"€ 1,147"
10,B&B Girovagando,"€ 1,098"
11,Fair Suite Roma Termini,"€ 1,034"
12,4rooms In Rome,€ 732
13,Hotel Anfiteatro Flavio,"€ 1,083"
14,Residenza Vatican Suite,€ 990
15,Rome as you feel - Grotta Pinta apartments,"€ 1,628"
16,Hotel Centro Cavour Roma,"€ 1,489"
17,Hotel Residenza In Farnese,"€ 1,930"
18,L'architetto,€ 790
19,Domus Serafino,"€ 1,240"
20,Roma Veneto Relais,"€ 1,873"
21,The RomeHello,"€ 1,359"
22,Nice Rome Holiday,"€ 1,898"
23,ASTORIA GOLDEN GATE,€ 978
24,Domus RomAntica,"€ 1,502"
25,Hotel Smeraldo,"€ 2,286"
26,Parlamento Boutique Hotel,"€ 1,735"
27,Hotel Le Petit,"€ 1,620"
28,FH55 Grand Hotel Palatino,"€ 2,162"
29,Hotel Giolli Nazionale,"€ 1,753"
30,Aelius,"€ 1,287"
31,St. Peter' Six Rooms & Suites,"€ 1,682"
32,Spanish Diamond Luxury Suites & Jacuzzi,"€ 1,364"
33,Rooms Roma - Monti,€ 999
34,Best Western Premier Hotel Royal Santina,"€ 1,800"
35,Corso Experience,€ 949
36,HOTEL VIA VENETO,"€ 3,771"
37,Babuino 79,"€ 2,621"
38,Suite Art Navona,"€ 1,405"
39,Best Western Plus Hotel Universo,"€ 1,980"
40,Roma Boutique Hotel,"€ 1,326"
41,7 Inn Spanish Steps,"€ 1,716"
42,Trinity Luxury Rooms,"€ 1,154"
43,iRooms Pantheon & Navona,"€ 1,352"
44,Spagna Dream Suites,"€ 1,575"
45,Magic Life,€ 954
46,Primo Piano Suites,"€ 1,764"
47,Hotel Maximus,"€ 1,548"
48,La Residenza Dell'Angelo,"€ 1,218"
49,Casa Cleo,€ 980
50,Magic Guest House,€ 867
51,Casa Montani,"€ 1,564"
52,Relais Arco Della Pace,€ 948
53,Terrazza Marco Antonio Luxury Suite,"€ 2,575"
54,Freedom Love B&B,"€ 1,437"
55,Residenza Ave Roma,"€ 1,169"
56,Hotel Corona,"€ 1,044"
57,Trevi Steps,"€ 1,260"
58,Hotel Grifo,"€ 1,720"
59,Borgo Pio 91,"€ 1,169"
60,Trastevere Colors,"€ 1,444"
61,Guesthouse Serafino,"€ 1,240"
62,Barberini Dream,"€ 2,063"
63,Vatican Golden Rooms,€ 804
64,Restart Accommodations Farnesina,"€ 1,173"
65,Korean Sonata,€ 978
66,Leonardo Boutique Hotel Rome Termini,"€ 1,624"
67,Al Viminale Hill Inn & Hotel,"€ 1,533"
68,Dante's Hell B&B,"€ 1,381"
69,Sourire Hotel,"€ 1,512"
70,Terrace Pantheon Relais,"€ 2,736"
71,Daplace - Madonna de' Monti Suites,"€ 1,326"
72,Inn Rome Rooms & Suites,"€ 1,113"
73,Linnéa Roma Centro Camera A,€ 704
74,Casa Carra,€ 864
75,Cesar Vatican Rooms - Top Collection,€ 870
76,Take me Rome - Roman Forum Apartments,"€ 1,470"
77,Nazionale 51 Group,"€ 1,576"
78,Roma 2B,"€ 1,322"
79,Hotel Cinquantatre,"€ 1,746"
80,NAMAN HOTELLERIE - Margutta,"€ 2,369"
81,Green 152 - Luxury Apartments Rome Colosseum Monti,"€ 1,312"
82,Domus Iulia - Colosseo,"€ 1,056"
83,Hotel Leone,€ 894
84,Rome Termini Rooms 4,€ 658
85,Casa I Cappuccini,"€ 1,251"
86,Roma sogno infinito,"€ 1,177"
87,Frattina FF italian suites,"€ 1,412"
88,Hotel Alexis,€ 663
89,Luxury Navona,"€ 2,127"
90,Residenza Al Corso,"€ 1,482"
91,Frattina Grand Suite Guesthouse,"€ 1,412"
92,Esposizione Luxury Rome,"€ 1,940"
93,UnoSeiTre - Luxury Apartment & Suite,"€ 1,352"
94,"Palazzo Velabro, a Member of Design Hotels","€ 2,903"
95,Condominio Monti Boutique Hotel,"€ 1,498"
96,Roma Suite Monti,"€ 1,572"
97,Hotel Quirinale,"€ 2,022"
98,iRooms Campo dei Fiori,"€ 1,721"
99,Dopodomani Suite,"€ 1,522"
100,Hotel Virgilio,"€ 1,184"
101,Suite della Pigna,"€ 2,012"
102,Residenza Elizabeth,"€ 1,704"
103,Ann Inn,€ 966
104,THE ROMAN WAY OPERA,"€ 1,410"
105,Residenza Cola Di Rienzo - Suite In Rome,"€ 1,086"
106,Relais Aquarium,"€ 1,084"
107,JO&JOE ROMA,"€ 1,040"
108,L'antica Locanda Dell'Orso,€ 897
109,Easydomus Rome,"€ 1,397"
110,Twentyone Hotel,"€ 1,634"
111,Hotel Relais Dei Papi,"€ 1,238"
112,Dimora Frattina,"€ 1,888"
113,Termini Terrace,"€ 1,134"
114,Trianon Borgo Pio Aparthotel,"€ 1,584"
115,The Venue Sistina,"€ 2,127"
116,Hotel Mecenate Palace,"€ 1,487"
117,Residenza Domizia,"€ 1,281"
118,LUDUS ROOMS,"€ 1,340"
119,Tritone Top House,"€ 1,341"
120,BQ House Trevi Luxury Rooms,"€ 4,334"
121,Reginella Suites,"€ 1,170"
122,Eighty Four Luxury Rooms,"€ 1,282"
123,Coladir Guest House,"€ 1,178"
124,Guest House Biondi,€ 755
125,Guest House Biondi,€ 755
126,Roma center Fori Imperiali Raffy's charming Suite,€ 884
127,La Casa Di Iulia,€ 858
128,Corso Suite 107 Rooms Wellness & Spa,"€ 2,311"
129,Easy Budget Colosseo,€ 958
130,POPOLO PEN 56 Apartament,"€ 1,063"
131,Hotel Texas,€ 654
132,Relais Cavour,"€ 1,124"
133,Boutique Hotel Galatea,"€ 1,467"
134,MiRhome Guest House,€ 862
135,A Window on Pantheon,"€ 2,866"
136,Residenza Zanardelli,"€ 1,862"
137,Relais Cola Di Rienzo,"€ 1,533"
138,Residenza Vaticana,€ 852
139,AD Suites Nazionale,"€ 1,241"
140,Relais della Torre,"€ 1,396"
141,Hotel Locarno,"€ 4,332"
142,Alpi Hotel,"€ 1,412"
143,La Casa Di Amy,"€ 1,074"
144,The Boutique Hotel,"€ 1,972"
145,Best Western Plus Hotel Spring House,"€ 1,845"
146,Hotel Sant'Angelo,"€ 1,402"
147,Hotel Villa San Pio,"€ 1,480"
148,Quiriti Vatican Relais,"€ 1,708"
149,Azzurra Rooms,"€ 1,158"
150,Erreggi Luxury Rooms,"€ 1,531"
151,Flowerome,€ 944
152,Hotel Isa,"€ 2,090"
153,Monti Suites Cavour,"€ 1,170"
154,Hotel dei Consoli Vaticano,"€ 1,529"
155,Hotel Canova,"€ 1,336"
156,MyNavona,"€ 1,730"
157,Martina a Piazza del Popolo,"€ 1,011"
158,Penta Luxury House,"€ 1,086"
159,Trevi 41 Hotel,"€ 1,795"
160,Rome Times Hotel,"€ 2,084"
161,Piccolo Imperiale,"€ 1,019"
162,Hotel Rimini,€ 859
163,Domus Porta Angelica,"€ 1,253"
164,Navona Theatre Hotel,"€ 1,668"
165,Hotel Villafranca,"€ 1,440"
