,hotel_name,rating,room_description,price,location_descirption,long_description,price_week_before
1,Sonder Piazza San Pietro,8.2,"Superior Apartment
Entire apartment • 1 bedroom • 1 living room • 1 bathroom • 1 kitchen • 37m²
2 beds (1 single, 1 sofa bed)
Only 1 left at this price on our site","€ 1,777","Vaticano Prati, RomeShow on map2.2 km from centre","You're eligible for a Genius discount at Sonder Piazza San Pietro! To save at this property, all you have to do is sign in.
Sonder Piazza San Pietro features accommodation within 2.1 km of the centre of Rome, with free WiFi, and a kitchen with a microwave, a toaster and a fridge. It is situated 700 metres from St. Peter's Basilica and provides a lift. Piazza Navona is 1.9 km away and Campo de' Fiori is 2 km from the aparthotel.

All units are fitted with air conditioning, a flat-screen TV with cable channels, a stovetop, a coffee machine, a a bath or shower, a hair dryer and a wardrobe. Units have a kettle and a private bathroom, while some rooms also boast a terrace. At the aparthotel, each unit includes bed linen and towels.

Popular points of interest near the aparthotel include Castel Sant'Angelo, St Peter's Square and The Vatican. The nearest airport is Rome Ciampino Airport, 17 km from Sonder Piazza San Pietro.","€ 1,693"
4,"[Centocelle, Metro C] Luminoso quadrilocale",,"Two-Bedroom Apartment
3 beds (2 singles, 1 double)
Free cancellation",€ 951,RomeShow on map7.1 km from centreMetro access,"Located 5.9 km from Porta Maggiore, 5.9 km from Rebibbia Metro Station and 6.3 km from Ponte Lungo Metro Station, [Centocelle, Metro C] Luminoso quadrilocale provides accommodation set in Rome. The property is situated 6.4 km from Anagnina Metro Station, 6.5 km from Vittorio Emanuele Metro Station and 6.6 km from San Giovanni Metro Station. Roma Tiburtina Train Station is 7.3 km from the apartment and Bologna Metro Station is 7.5 km away.

The accommodation is non-smoking.

Sapienza University of Rome is 7.1 km from the apartment, while Tiburtina Metro Station is 7.3 km away. The nearest airport is Rome Ciampino Airport, 13 km from [Centocelle, Metro C] Luminoso quadrilocale.",€ 951
6,Pamphili212,,"Two-Bedroom Apartment
Entire apartment • 2 bedrooms • 1 living room • 1 bathroom • 1 kitchen • 60m²
3 beds (1 single, 1 sofa bed, 1 large double)
Free cancellation",€ 808,"Gianicolense, RomeShow on map2.9 km from centre","Situated in Rome, 1.4 km from Roma Trastevere Train Station and 3 km from Piazza di Santa Maria in Trastevere, Pamphili212 features air-conditioned accommodation with a balcony and free WiFi. Guests can benefit from a patio and a barbecue. The accommodation offers private check-in and check-out and a minimarket for guests.

The apartment with a terrace and garden views has 2 bedrooms, a living room, a flat-screen TV, an equipped kitchen with a microwave and a fridge, and 1 bathroom with a bidet. For added privacy, the accommodation features a private entrance.

Dining options are available close to the apartment.

Guests can relax in the garden at the property.

St. Peter's Basilica is 3.1 km from Pamphili212, while Campo de' Fiori is 3.5 km from the property. The nearest airport is Fiumicino Airport, 21 km from the accommodation.",€ 711
8,4rooms In Rome,9.4,"Standard Double Room
1 double bed
Free cancellation
Only 2 rooms left at this price on our site",€ 718,"Central Station, RomeShow on map2.2 km from centreMetro access","Set in the centre of Rome, less than 1 km from Rome Termini Train Station and a 11-minute walk from Rome Termini Metro Station, 4rooms In Rome offers free WiFi and air conditioning. The property has garden and inner courtyard views, and is 1.1 km from Sapienza University of Rome. Piazza Barberini is 1.8 km away and Vittorio Emanuele Metro Station is 2 km from the guest house.

At the guest house, the units have a desk, a flat-screen TV, a private bathroom, bed linen and towels. A dishwasher, a microwave and fridge are also offered, as well as a kettle. All units feature a wardrobe.

Popular points of interest near the guest house include Repubblica - Teatro dell'Opera Metro Station, Santa Maria Maggiore and Bologna Metro Station. The nearest airport is Rome Ciampino Airport, 15 km from 4rooms In Rome.",€ 732
9,Juna's guest house,8.5,"Double Room with Private Bathroom
1 double bed
Free cancellation
Only 1 room left at this price on our site",€ 546,"Tiburtino, RomeShow on map4.3 km from centre","You're eligible for a Genius discount at Juna's guest house! To save at this property, all you have to do is sign in.
Set in Rome, 2.7 km from Porta Maggiore and 3.3 km from Vittorio Emanuele Metro Station, Juna's guest house offers air-conditioned accommodation with a terrace and free WiFi. With city views, this accommodation features a balcony. The accommodation provides a lift and private check-in and check-out for guests.

The guest house is fitted with a satellite flat-screen TV. Towels and bed linen are offered in the guest house. This guest house is non-smoking and soundproof.

San Giovanni Metro Station is 3.5 km from the guest house, while Ponte Lungo Metro Station is 3.6 km from the property. The nearest airport is Rome Ciampino Airport, 22 km from Juna's guest house.",€ 546
10,Colosseo Suite Apartment,8.5,"Apartment
Entire apartment • 1 bedroom • 1 bathroom • 1 kitchen • 30m²
2 beds (1 sofa bed, 1 large double)
Free cancellation
Only 1 left at this price on our site",€ 883,"Central Station, RomeShow on map2.1 km from centreMetro access","Colosseo Suite Apartment has a patio and is situated in Rome, within just 600 metres of San Giovanni Metro Station and 1.1 km of Porta Maggiore. The property is close to several well-known attractions, 1.8 km from Rome Termini Train Station, 1.1 km from Domus Aurea and 1.4 km from Colosseo Metro Station. Free WiFi is available throughout the property and Vittorio Emanuele Metro Station is less than 1 km away.

Offering direct access to a balcony, the air-conditioned apartment consists of 1 bedroom. Featuring a terrace, this apartment also comes with a satellite flat-screen TV, a well-equipped kitchen with an oven, a microwave and a fridge, as well as 1 bathroom with a bidet and bathrobes. For added privacy, the accommodation has a private entrance and soundproofing.

Popular points of interest near the apartment include Santa Maria Maggiore, Coliseum and Cavour Metro Station. The nearest airport is Rome Ciampino, 13 km from Colosseo Suite Apartment, and the property offers a paid airport shuttle service.",€ 883
12,Vatican City Accommodation,8.7,"Double Room
1 large double bed
Free cancellation
Only 1 room left at this price on our site",€ 620,"Aurelio, RomeShow on map4.3 km from centreMetro access",,€ 625
15,Camera matrimoniale vicino a San Pietro,10,"Large Double Room
1 double bed
Free cancellation
Only 1 room left at this price on our site",€ 474,"Aurelio, RomeShow on map4.5 km from centreMetro access","Camera matrimoniale vicino a San Pietro is located in the Aurelio district of Rome, 2.9 km from St. Peter's Basilica, 2.9 km from Vatican Museums and 3 km from Ottaviano Metro Station. The property is situated 3.7 km from Lepanto Metro Station, 3.8 km from Castel Sant'Angelo and 4.4 km from St Peter's Square. Free WiFi is available throughout the property and Battistini Metro Station is 1.5 km away.

Towels and bed linen are featured in the homestay. The accommodation is non-smoking.

The Vatican is 4.5 km from the homestay, while Campo de' Fiori is 4.9 km away. The nearest airport is Fiumicino Airport, 25 km from Camera matrimoniale vicino a San Pietro.",€ 474
18,ElevenG,9.7,"Studio
Entire studio • 1 bathroom • 1 kitchen • 30m²
2 beds (1 single, 1 large double)
Free cancellation
Only 1 left at this price on our site",€ 936,"Villa Borghese Parioli, RomeShow on map2.2 km from centreMetro access","A recently renovated apartment in Rome and within less than 1 km of Lepanto Metro Station, ElevenG features a terrace, comfortable allergy-free rooms and free WiFi. There is a private entrance at the apartment for the convenience of those who stay. Private parking can be arranged at an extra charge.

At the apartment complex, every unit includes air conditioning, a seating area, a flat-screen TV with streaming services, a kitchen, a dining area, a safety deposit box and a private bathroom with a bidet, a hair dryer and free toiletries. A microwave, a toaster and fridge are also provided, as well as a coffee machine and a kettle. At the apartment complex, every unit is fitted with bed linen and towels.

Popular points of interest near the apartment include Piazza del Popolo, Ottaviano Metro Station and Villa Borghese. The nearest airport is Rome Ciampino Airport, 17 km from ElevenG.","€ 1,036"
20,Pigneto Square Home,6.7,"Double Room
1 large double bed
Free cancellation
Only 1 room left at this price on our site",€ 545,"Prenestino Labicano, RomeShow on map3.4 km from centreMetro access","Set less than 1 km from Porta Maggiore, a 16-minute walk from San Giovanni Metro Station and 1.6 km from Ponte Lungo Metro Station, Pigneto Square Home offers accommodation situated in Rome. The property is around 2 km from Vittorio Emanuele Metro Station, 2.7 km from Sapienza University of Rome and 3.2 km from Santa Maria Maggiore. Rome Termini Train Station is 3.4 km away and Rome Termini Metro Station is 3.6 km from the guest house.

Some accommodation includes a terrace and a seating area with flat-screen TV, as well as air conditioning. At the guest house, the units have a private bathroom with a hair dryer and free toiletries.

Domus Aurea is 3.8 km from the guest house, while Tiburtina Metro Station is 4.7 km away. The nearest airport is Rome Ciampino, 12 km from Pigneto Square Home, and the property offers a paid airport shuttle service.",€ 545
