,hotel_name,rating,room_description,price,location_descirption,long_description
0,ROMUhouse economy apartment METRO B,8.9,"One-Bedroom Apartment
Entire apartment • 1 bedroom • 2 living rooms • 1 bathroom • 1 kitchen • 50m²
2 beds (1 double, 1 large double)
Only 1 left at this price on our site",€ 525,"Tiburtino, RomeShow on map8.1 km from centreMetro access","You're eligible for a Genius discount at ROMUhouse economy apartment METRO B! To save at this property, all you have to do is sign in.
ROMUhouse economy apartment METRO B is set in the Tiburtino district of Rome, 500 metres from Rebibbia Metro Station, 6.3 km from Tiburtina Metro Station and 6.3 km from Roma Tiburtina Train Station. The property is situated 6.4 km from Bologna Metro Station, 7 km from Sapienza University of Rome and 7.9 km from Rome Termini Train Station. This pet-friendly apartment also has free WiFi.

The air-conditioned apartment consists of 1 bedroom, 2 living rooms, a fully equipped kitchen with an oven and a coffee machine, and 1 bathroom with a bidet and a hair dryer. Towels and bed linen are featured in the apartment. For added privacy, the accommodation has a private entrance and soundproofing.

Rome Termini Metro Station is 8 km from the apartment, while Porta Maggiore is 8.2 km away. The nearest airport is Rome Ciampino Airport, 20 km from ROMUhouse economy apartment METRO B."
1,Sonder Piazza San Pietro,8.2,"Superior Apartment
Entire apartment • 1 bedroom • 1 living room • 1 bathroom • 1 kitchen • 37m²
2 beds (1 single, 1 sofa bed)
Only 1 left at this price on our site","€ 1,777","Vaticano Prati, RomeShow on map2.2 km from centre","You're eligible for a Genius discount at Sonder Piazza San Pietro! To save at this property, all you have to do is sign in.
Sonder Piazza San Pietro features accommodation within 2.1 km of the centre of Rome, with free WiFi, and a kitchen with a microwave, a toaster and a fridge. It is situated 700 metres from St. Peter's Basilica and provides a lift. Piazza Navona is 1.9 km away and Campo de' Fiori is 2 km from the aparthotel.

All units are fitted with air conditioning, a flat-screen TV with cable channels, a stovetop, a coffee machine, a a bath or shower, a hair dryer and a wardrobe. Units have a kettle and a private bathroom, while some rooms also boast a terrace. At the aparthotel, each unit includes bed linen and towels.

Popular points of interest near the aparthotel include Castel Sant'Angelo, St Peter's Square and The Vatican. The nearest airport is Rome Ciampino Airport, 17 km from Sonder Piazza San Pietro."
2,The Royals,8.8,"Double or Twin Room with Balcony
3 single beds
Breakfast included
Free cancellation
Only 1 room left at this price on our site",€ 579,"Gianicolense, RomeShow on map4.3 km from centre","Located within 2.1 km of Roma Trastevere Train Station and 4.1 km of Basilica San Paolo Metro Station in Rome, The Royals offers accommodation with seating area. The property features inner courtyard and quiet street views, and is 4.8 km from St. Peter's Basilica. The accommodation provides a lift and a shared kitchen for guests.

The units are equipped with air conditioning, a microwave, a fridge, a coffee machine, a bidet, a hair dryer and a desk. Featuring a private bathroom with a shower and free toiletries, units at the guest house also provide guests with free WiFi, while selected rooms include a balcony. At the guest house, all units are fitted with bed linen and towels.

There is a coffee shop, and a minimarket is also available.

Guests can also relax in the shared lounge area.

Campo de' Fiori is 4.9 km from the guest house, while Piazza di Santa Maria in Trastevere is 4.9 km away. The nearest airport is Fiumicino, 20 km from The Royals, and the property offers a paid airport shuttle service."
3,Monti Guest House - Affittacamere,7.7,"Economy Double Room
1 double bed
Free cancellation
No prepayment needed – pay at the property
Only 1 room left at this price on our site",€ 654,"Rione Monti, RomeShow on map0.9 km from centreMetro access","You're eligible for a Genius discount at Monti Guest House - Affittacamere! To save at this property, all you have to do is sign in.
This charming guest house is located in the delightful neighbourhood of Monti in the heart of the historic centre, 500 metres from the Coliseum and the Roman Forum. WiFi is free.

Monti House is set in a district which is very popular with the locals. Its narrow streets and small shops give it an intimate, village-like atmosphere. Choose from one of the many wine bars, cafés and typical restaurants.

You can start your day with a sweet breakfast served at a café across the road. Explore the city, with many of the attractions just a short stroll away, including the Rome opera house.

Discounts apply for longer stays, and an airport shuttle can be arranged upon request. Cavour Metro Station can be reached in less than a 10-minute walk."
4,"[Centocelle, Metro C] Luminoso quadrilocale",,"Two-Bedroom Apartment
3 beds (2 singles, 1 double)
Free cancellation",€ 951,RomeShow on map7.1 km from centreMetro access,"Located 5.9 km from Porta Maggiore, 5.9 km from Rebibbia Metro Station and 6.3 km from Ponte Lungo Metro Station, [Centocelle, Metro C] Luminoso quadrilocale provides accommodation set in Rome. The property is situated 6.4 km from Anagnina Metro Station, 6.5 km from Vittorio Emanuele Metro Station and 6.6 km from San Giovanni Metro Station. Roma Tiburtina Train Station is 7.3 km from the apartment and Bologna Metro Station is 7.5 km away.

The accommodation is non-smoking.

Sapienza University of Rome is 7.1 km from the apartment, while Tiburtina Metro Station is 7.3 km away. The nearest airport is Rome Ciampino Airport, 13 km from [Centocelle, Metro C] Luminoso quadrilocale."
5,La Casetta del Vaticano,9.3,"Two-Bedroom House
Entire holiday home • 2 bedrooms • 1 living room • 1 bathroom • 1 kitchen • 60m²
3 beds (1 single, 2 large doubles)
Free cancellation
Only 1 left at this price on our site",€ 814,"Aurelio, RomeShow on map3.9 km from centreMetro access","Located in Rome, 2.3 km from St. Peter's Basilica and 2.3 km from Vatican Museums, La Casetta del Vaticano provides air-conditioned accommodation with a balcony and free WiFi. It is set 2.9 km from Ottaviano Metro Station and features a lift. The property is non-smoking and is situated 2.7 km from Battistini Metro Station.

The holiday home with a terrace and garden views features 2 bedrooms, a living room, a flat-screen TV, an equipped kitchen with an oven and a microwave, and 1 bathroom with a bidet. Towels and bed linen are provided in the holiday home. The property has an outdoor dining area.

A minimarket is available at the holiday home.

Guests at the holiday home will be able to enjoy activities in and around Rome, like cycling.

Castel Sant'Angelo is 3.5 km from La Casetta del Vaticano, while Lepanto Metro Station is 3.6 km away. The nearest airport is Fiumicino, 25 km from the accommodation, and the property offers a paid airport shuttle service."
6,Pamphili212,,"Two-Bedroom Apartment
Entire apartment • 2 bedrooms • 1 living room • 1 bathroom • 1 kitchen • 60m²
3 beds (1 single, 1 sofa bed, 1 large double)
Free cancellation",€ 808,"Gianicolense, RomeShow on map2.9 km from centre","Situated in Rome, 1.4 km from Roma Trastevere Train Station and 3 km from Piazza di Santa Maria in Trastevere, Pamphili212 features air-conditioned accommodation with a balcony and free WiFi. Guests can benefit from a patio and a barbecue. The accommodation offers private check-in and check-out and a minimarket for guests.

The apartment with a terrace and garden views has 2 bedrooms, a living room, a flat-screen TV, an equipped kitchen with a microwave and a fridge, and 1 bathroom with a bidet. For added privacy, the accommodation features a private entrance.

Dining options are available close to the apartment.

Guests can relax in the garden at the property.

St. Peter's Basilica is 3.1 km from Pamphili212, while Campo de' Fiori is 3.5 km from the property. The nearest airport is Fiumicino Airport, 21 km from the accommodation."
7,M9 Pantheon Attic 11,9.7,"Studio Apartment
Entire apartment • 1 bedroom • 1 bathroom • 1 kitchen • 25m²
1 double bed
Free cancellation
Only 1 left at this price on our site",€ 946,"Pantheon, RomeShow on map0.6 km from centre","You're eligible for a Genius discount at M9 Pantheon Attic 11! To save at this property, all you have to do is sign in.
In the centre of Rome, located within a short distance of Largo di Torre Argentina and Pantheon, M9 Pantheon Attic 11 offers free WiFi, air conditioning and household amenities such as an oven and coffee machine. The property features quiet street views and is 700 metres from Palazzo Venezia and 800 metres from Piazza Venezia. Staff on-site can arrange a shuttle service.

The apartment is equipped with 1 bedroom, 1 bathroom, bed linen, towels, a flat-screen TV with cable channels, a dining area, a fully equipped kitchen, and a terrace with city views. This apartment also offers a balcony that doubles up as an outdoor dining area. For added privacy, the accommodation has a private entrance and soundproofing.

Popular points of interest near the apartment include Synagogue of Rome, Piazza Navona and Roman Forum. The nearest airport is Rome Ciampino Airport, 16 km from M9 Pantheon Attic 11."
8,4rooms In Rome,9.4,"Standard Double Room
1 double bed
Free cancellation
Only 2 rooms left at this price on our site",€ 718,"Central Station, RomeShow on map2.2 km from centreMetro access","Set in the centre of Rome, less than 1 km from Rome Termini Train Station and a 11-minute walk from Rome Termini Metro Station, 4rooms In Rome offers free WiFi and air conditioning. The property has garden and inner courtyard views, and is 1.1 km from Sapienza University of Rome. Piazza Barberini is 1.8 km away and Vittorio Emanuele Metro Station is 2 km from the guest house.

At the guest house, the units have a desk, a flat-screen TV, a private bathroom, bed linen and towels. A dishwasher, a microwave and fridge are also offered, as well as a kettle. All units feature a wardrobe.

Popular points of interest near the guest house include Repubblica - Teatro dell'Opera Metro Station, Santa Maria Maggiore and Bologna Metro Station. The nearest airport is Rome Ciampino Airport, 15 km from 4rooms In Rome."
9,Juna's guest house,8.5,"Double Room with Private Bathroom
1 double bed
Free cancellation
Only 1 room left at this price on our site",€ 546,"Tiburtino, RomeShow on map4.3 km from centre","You're eligible for a Genius discount at Juna's guest house! To save at this property, all you have to do is sign in.
Set in Rome, 2.7 km from Porta Maggiore and 3.3 km from Vittorio Emanuele Metro Station, Juna's guest house offers air-conditioned accommodation with a terrace and free WiFi. With city views, this accommodation features a balcony. The accommodation provides a lift and private check-in and check-out for guests.

The guest house is fitted with a satellite flat-screen TV. Towels and bed linen are offered in the guest house. This guest house is non-smoking and soundproof.

San Giovanni Metro Station is 3.5 km from the guest house, while Ponte Lungo Metro Station is 3.6 km from the property. The nearest airport is Rome Ciampino Airport, 22 km from Juna's guest house."
